1993,Cosmas Ndeti,Kenya,02:09:33,,Men
1994,Cosmas Ndeti,Kenya,02:07:15,2nd victory,Men
1995,Cosmas Ndeti,Kenya,02:09:22,3rd victory,Men
1996,Moses Tanui,Kenya,02:09:15,,Men
1997,Lameck Aguta,Kenya,02:10:34,,Men
1998,Moses Tanui,Kenya,02:07:34,2nd victory,Men
1999,Joseph Chebet,Kenya,02:09:52,,Men
2000,Elijah Lagat,Kenya,02:09:47,,Men
2001,Lee Bong-Ju,South Korea,02:09:43,,Men
2002,Rodgers Rop,Kenya,02:09:02,,Men
2003,Robert Kipkoech Cheruiyot,Kenya,02:10:11,,Men
2004,Timothy Cherigat,Kenya,02:10:37,,Men
2005,Hailu Negussie,Ethiopia,02:11:44,,Men
2006,Robert Kipkoech Cheruiyot,Kenya,02:07:14,2nd victory,Men
2007,Robert Kipkoech Cheruiyot,Kenya,02:14:13,3rd victory,Men
2008,Robert Kipkoech Cheruiyot,Kenya,02:07:45,4th victory,Men
2009,Deriba Merga,Ethiopia,02:08:42,,Men
2010,Robert Kiprono Cheruiyot,Kenya,02:05:52,,Men
2011,Geoffrey Mutai,Kenya,02:03:02,Current men's course record,Men
2012,Wesley Korir,Kenya,02:12:40,,Men
2013,Lelisa Desisa Benti,Ethiopia,02:10:22,,Men
2014,Meb Keflezighi,United States (CA),02:08:37,First American win since 1983,Men
2015,Lelisa Desisa Benti,Ethiopia,02:09:17,2nd victory,Men
2016,Lemi Berhanu Hayle,Ethiopia,02:12:45,,Men
2017,Geoffrey Kirui,Kenya,02:09:37,,Men
1966,Bobbi Gibb,United States (MA),03:21:40,(unsanctioned)[4],Women
1967,Bobbi Gibb,United States (CA),03:27:17,(unsanctioned) 2nd victory[4],Women
1968,Bobbi Gibb,United States (CA),03:30:00,(unsanctioned) 3rd victory[4],Women
1969,Sara Mae Berman,United States (MA),03:22:46,(unsanctioned)[4],Women
1970,Sara Mae Berman,United States (MA),03:05:07,(unsanctioned) 2nd victory[4],Women
1971,Sara Mae Berman,United States (MA),03:08:30,(unsanctioned) 3rd victory[4],Women
1972,Nina Kuscsik,United States (NY),03:10:26,first year that women were officially sanctioned,Women
1973,Jacqueline Hansen,United States (CA),03:05:59,,Women
1974,Miki Gorman,United States (CA),02:47:11,,Women
1975,Liane Winter,West Germany,02:42:24,,Women
1976,Kim Merritt,United States (WI),02:47:10,,Women
1977,Miki Gorman,United States (CA),02:48:33,2nd victory,Women
1978,Gayle Barron,United States (GA),02:44:52,,Women
1979,Joan Benoit,United States (ME),02:35:15,,Women
1980,Jacqueline Gareau,Canada,02:34:28,[5],Women
1981,Allison Roe,New Zealand,02:26:46,,Women
1982,Charlotte Teske,West Germany,02:29:33,,Women
1983,Joan Benoit,United States (ME),02:22:43,2nd victory,Women
1984,Lorraine Moller,New Zealand,02:29:28,,Women
1985,Lisa Larsen Weidenbach,United States (MI),02:34:06,,Women
1986,Ingrid Kristiansen,Norway,02:24:55,,Women
1987,Rosa Mota,Portugal,02:25:21,,Women
1988,Rosa Mota,Portugal,02:24:30,2nd victory,Women
1989,Ingrid Kristiansen,Norway,02:24:33,2nd victory,Women
1990,Rosa Mota,Portugal,02:25:24,3rd victory,Women
1991,Wanda Panfil,Poland,02:24:18,,Women
1992,Olga Markova,Russia,02:23:43,,Women
1993,Olga Markova,Russia,02:25:27,2nd victory,Women
1994,Uta Pippig,Germany,02:21:45,,Women
1995,Uta Pippig,Germany,02:25:11,2nd victory,Women
1996,Uta Pippig,Germany,02:27:12,3rd victory,Women
1997,Fatuma Roba,Ethiopia,02:26:23,,Women
1998,Fatuma Roba,Ethiopia,02:23:21,2nd victory,Women
1999,Fatuma Roba,Ethiopia,02:23:25,3rd victory,Women
2000,Catherine Ndereba,Kenya,02:26:11,,Women
2001,Catherine Ndereba,Kenya,02:23:53,2nd victory,Women
2002,Margaret Okayo,Kenya,02:20:43,,Women
2003,Svetlana Zakharova,Russia,02:25:19,,Women
2004,Catherine Ndereba,Kenya,02:24:27,3rd victory,Women
2005,Catherine Ndereba,Kenya,02:25:12,4th victory,Women
2006,Rita Jeptoo,Kenya,02:23:38,,Women
2007,Lidiya Grigoryeva,Russia,02:29:18,,Women
2008,Dire Tune,Ethiopia,02:25:25,2 seconds ahead of 2nd-place finisher,Women
2009,Salina Kosgei,Kenya,02:32:16,1 second ahead of 2nd-place finisher,Women
2010,Teyba Erkesso,Ethiopia,02:26:11,3 seconds ahead of 2nd-place finisher,Women
2011,Caroline Kilel,Kenya,02:22:36,2 seconds ahead of 2nd-place finisher,Women
2012,Sharon Cherop,Kenya,02:31:50,2 seconds ahead of 2nd-place finisher,Women
2013,Rita Jeptoo,Kenya,02:26:25,2nd victory,Women
2014,Rita Jeptoo,Kenya,02:18:57,Course record later disqualified[6],Women
2014,Bizunesh Deba,Ethiopia,02:19:59,,Women
2015,Caroline Rotich,Kenya,02:24:55,,Women
2016,Atsede Baysa,Ethiopia,02:29:19,,Women
2017,Edna Kiplagat,Kenya,02:21:52,,Women
