"","antal_gymnasial_udd","antal_erh_faglig_udd","antal_kort_viderg_udd","antal_mellemlang_viderg_udd","antal_lang_viderg_udd","antal_ingen_udd","antal_under_udd","aar"
"1",31126,70095,15644,47427,46227,83498,77291,2008
"2",33630,69438,14532,49624,50076,83303,77429,2009
"3",33780,68127,14033,51412,52678,84973,79839,2010
"4",33469,67749,14016,53280,55475,86218,82575,2011
"5",32197,66567,14102,54281,57749,84674,87680,2012
"6",32136,65734,14094,55731,61704,85492,92542,2013
"7",31658,64423,13209,58323,65269,85014,97398,2014
