"","alder_antal_0_5","alder_antal_6_17","alder_antal_18_29","alder_antal_30_39","alder_antal_40_49","alder_antal_50_64","alder_antal_over_65","aar"
"1",37111,50270,122139,101951,65317,74549,54720,2008
"2",38268,51003,125089,104110,66614,74474,54772,2009
"3",39947,51543,128500,106381,67670,74323,55045,2010
"4",41618,52437,132884,108066,69168,74500,55777,2011
"5",42851,53375,135731,108236,70586,74227,56644,2012
"6",43975,54654,141720,109069,72983,75102,58178,2013
"7",44185,55955,146542,109466,74371,76303,59012,2014
